response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3843,0.0036,0.0018,0.0004,0.3795,0.0003,200,0.0099
0.3995,0.0028,0.0012,0.0001,0.3948,0.0002,200,0.0115
0.4107,0.0023,0.0012,0.0005,0.4065,0.0002,200,0.0115
0.4263,0.0009,0.0000,0.0005,0.4240,0.0001,200,0.0115
0.4297,0.0024,0.0011,0.0001,0.4254,0.0002,200,0.0114
0.4642,0.0014,0.0000,0.0022,0.4596,0.0002,200,0.0114
0.4643,0.0026,0.0017,0.0002,0.4601,0.0002,200,0.0113
0.4802,0.0028,0.0014,0.0022,0.4743,0.0001,200,0.0100
0.5542,0.0047,0.0014,0.0001,0.5474,0.0001,200,0.0114
0.5797,0.0019,0.0012,0.0004,0.5759,0.0002,200,0.0114
0.6351,0.0048,0.0023,0.0001,0.6279,0.0002,200,0.0114
0.6625,0.0036,0.0024,0.0000,0.6556,0.0002,200,0.0114
0.6647,0.0013,0.0001,0.0002,0.6618,0.0001,200,0.0113
0.6753,0.0035,0.0011,0.0003,0.6699,0.0001,200,0.0113
0.6840,0.0028,0.0000,0.0001,0.6805,0.0001,200,0.0105
0.7006,0.0050,0.0023,0.0001,0.6937,0.0002,200,0.0115
0.7101,0.0027,0.0013,0.0018,0.7045,0.0001,200,0.0099
0.7102,0.0032,0.0025,0.0001,0.7036,0.0001,200,0.0115
0.8247,0.0013,0.0004,0.0003,0.8218,0.0002,200,0.0114
0.8280,0.0008,0.0000,0.0002,0.8252,0.0001,200,0.0115
0.8665,0.0014,0.0006,0.0001,0.8635,0.0001,200,0.0115
0.8741,0.0040,0.0013,0.0002,0.8681,0.0001,200,0.0114
0.8760,0.0029,0.0023,0.0007,0.8711,0.0002,200,0.0114
0.8821,0.0040,0.0024,0.0001,0.8777,0.0001,200,0.0112
0.9058,0.0039,0.0028,0.0003,0.8997,0.0001,200,0.0115
0.9519,0.0020,0.0005,0.0003,0.9477,0.0001,200,0.0115
0.9560,0.0026,0.0004,0.0006,0.9512,0.0001,200,0.0115
0.9614,0.0017,0.0001,0.0002,0.9571,0.0001,200,0.0115
1.0667,0.0018,0.0011,0.0005,1.0634,0.0002,200,0.0114
1.0949,0.0023,0.0003,0.0001,1.0909,0.0002,200,0.0114
1.1281,0.0022,0.0017,0.0000,1.1211,0.0002,200,0.0114
1.1325,0.0019,0.0010,0.0001,1.1292,0.0001,200,0.0115
1.1343,0.0038,0.0020,0.0002,1.1284,0.0002,200,0.0115
1.1427,0.0012,0.0006,0.0001,1.1400,0.0002,200,0.0115
1.1600,0.0039,0.0026,0.0002,1.1539,0.0001,200,0.0114
1.1749,0.0031,0.0025,0.0002,1.1677,0.0001,200,0.0114
1.1878,0.0025,0.0004,0.0014,1.1827,0.0001,200,0.0100
1.1870,0.0021,0.0018,0.0001,1.1801,0.0001,200,0.0112
