response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1388,0.0016,0.0008,0.0001,0.1367,0.0003,500,0.0089
0.1700,0.0012,0.0004,0.0004,0.1678,0.0002,500,0.0085
0.1849,0.0023,0.0007,0.0007,0.1817,0.0002,500,0.0091
0.1934,0.0016,0.0006,0.0007,0.1906,0.0001,500,0.0088
0.1938,0.0012,0.0001,0.0006,0.1920,0.0001,500,0.0086
0.2050,0.0018,0.0000,0.0002,0.2027,0.0002,500,0.0093
0.2130,0.0018,0.0005,0.0001,0.2108,0.0002,500,0.0083
0.2180,0.0023,0.0017,0.0001,0.2150,0.0002,500,0.0077
0.2214,0.0032,0.0017,0.0001,0.2175,0.0001,500,0.0078
0.2226,0.0014,0.0005,0.0002,0.2208,0.0001,500,0.0088
0.2301,0.0006,0.0000,0.0005,0.2288,0.0002,500,0.0091
0.2388,0.0007,0.0000,0.0002,0.2377,0.0001,500,0.0092
0.2398,0.0014,0.0000,0.0005,0.2378,0.0001,500,0.0089
0.2463,0.0008,0.0004,0.0001,0.2453,0.0001,500,0.0098
0.2602,0.0015,0.0007,0.0002,0.2584,0.0001,500,0.0088
0.2614,0.0015,0.0000,0.0002,0.2596,0.0002,500,0.0086
0.2628,0.0032,0.0000,0.0003,0.2591,0.0001,500,0.0101
0.2677,0.0035,0.0006,0.0008,0.2633,0.0001,500,0.0088
0.2728,0.0026,0.0017,0.0004,0.2696,0.0001,500,0.0096
0.2742,0.0037,0.0031,0.0020,0.2684,0.0001,500,0.0084
0.2783,0.0043,0.0007,0.0005,0.2734,0.0001,500,0.0089
0.2838,0.0044,0.0018,0.0008,0.2780,0.0002,500,0.0077
0.3184,0.0027,0.0018,0.0004,0.3147,0.0002,500,0.0076
0.3428,0.0025,0.0000,0.0007,0.3394,0.0002,500,0.0087
0.3497,0.0008,0.0000,0.0037,0.3451,0.0001,500,0.0090
0.3665,0.0037,0.0025,0.0009,0.3617,0.0002,500,0.0085
0.3717,0.0026,0.0000,0.0003,0.3684,0.0002,500,0.0105
0.4089,0.0045,0.0001,0.0004,0.4034,0.0001,500,0.0082
0.4189,0.0050,0.0019,0.0003,0.4134,0.0001,500,0.0085
0.4477,0.0005,0.0001,0.0001,0.4451,0.0001,500,0.0121
0.4648,0.0024,0.0019,0.0001,0.4622,0.0001,200,0.0083
0.4678,0.0018,0.0000,0.0001,0.4657,0.0001,500,0.0098
0.4714,0.0041,0.0026,0.0001,0.4671,0.0001,500,0.0097
0.4765,0.0045,0.0023,0.0010,0.4708,0.0001,500,0.0087
0.4926,0.0045,0.0029,0.0002,0.4878,0.0001,200,0.0084
0.5011,0.0012,0.0006,0.0001,0.4997,0.0001,200,0.0114
